gene,x,y,z,cost,xs,ys,cc,cc_size
PKP4,544.61825,1833.5234999999998,0.0,18.612796268304898,"[544.2040000000002, 544.455, 544.908, 544.906]","[1833.467, 1833.596, 1833.319, 1833.712]",1,1
NBEA,660.5020000000001,846.83425,0.0,14.16375780976074,"[660.294, 660.5160000000002, 660.613, 660.585]","[846.954, 847.215, 846.576, 846.592]",2,1
CAMKV,817.48875,648.0252500000001,0.0,19.59361518384781,"[817.294, 817.199, 817.556, 817.9060000000002]","[647.9540000000002, 648.351, 648.0840000000002, 647.712]",3,1
PAK4,1402.5532500000002,1000.74375,0.0,9.184475770518711,"[1402.294, 1402.8670000000004, 1402.467, 1402.585]","[1000.954, 1000.696, 1000.733, 1000.592]",4,1
DIRAS2,433.25875,36.58225,0.0,14.277481552706087,"[433.207, 432.867, 433.61300000000006, 433.348]","[36.396, 36.696, 36.576, 36.661]",5,1
DIRAS2,1154.50875,1592.58225,0.0,12.366474688747996,"[1154.207, 1154.867, 1154.613, 1154.348]","[1592.396, 1592.696, 1592.576, 1592.661]",6,1
DIRAS2,352.25875,1484.58225,0.0,13.74719429411615,"[352.207, 351.867, 352.61300000000006, 352.348]","[1484.396, 1484.696, 1484.576, 1484.661]",7,1
LIX1,1251.5462499999999,326.35175,0.0,18.03843913624082,"[1251.207, 1251.516, 1251.556, 1251.906]","[326.396, 326.215, 326.084, 326.712]",8,1
RBFOX3,616.51025,736.45075,0.0,16.727214876238857,"[616.207, 616.455, 616.556, 616.823]","[736.3960000000002, 736.596, 736.084, 736.727]",9,1
MTHFD2,1497.8319999999999,504.44975,0.0,16.673137232562198,"[1497.902, 1498.1989999999996, 1497.404, 1497.823]","[504.302, 504.351, 504.419, 504.727]",10,1
ETL4,1827.704,1244.39475,0.0,16.2272113853764,"[1827.842, 1827.664, 1827.404, 1827.906]","[1244.023, 1244.425, 1244.419, 1244.712]",11,1
LRRC7,392.51675,754.36225,0.0,18.82384211128994,"[392.842, 392.516, 392.361, 392.348]","[754.023, 754.215, 754.55, 754.6610000000002]",12,1
SNAP91,1095.64625,936.346,0.0,17.366727928752912,"[1095.842, 1095.516, 1095.404, 1095.823]","[936.023, 936.215, 936.419, 936.727]",13,1
INA,732.71275,715.03725,0.0,18.14978236758803,"[732.842, 732.5160000000002, 732.908, 732.585]","[715.023, 715.215, 715.319, 714.592]",14,1
ZFP609,859.5607500000001,1063.44025,0.0,15.440630208304306,"[859.842, 859.455, 859.3610000000001, 859.585]","[1063.023, 1063.596, 1063.55, 1063.592]",15,1
FSTL5,220.676,1551.404,0.0,9.914441582426058,"[220.842, 220.664, 220.613, 220.585]","[1551.023, 1551.425, 1551.576, 1551.592]",16,1
INA,856.71275,1055.2872499999999,0.0,12.329223328327114,"[856.842, 856.5160000000002, 856.908, 856.585]","[1055.023, 1055.215, 1055.319, 1055.592]",17,1
LRRC7,953.51675,1829.86225,0.0,17.69517725774454,"[953.842, 953.516, 953.361, 953.348]","[1830.023, 1830.215, 1829.55, 1829.661]",18,1
KMT2B,1083.6905000000002,415.607,0.0,18.983007053200442,"[1083.842, 1083.664, 1083.908, 1083.348]","[416.023, 415.425, 415.319, 415.661]",19,1
LRRC7,947.51675,1500.36225,0.0,16.959752197024937,"[947.842, 947.516, 947.361, 947.348]","[1500.023, 1500.215, 1500.55, 1500.661]",20,1
SNAP91,2025.6462500000002,1319.846,0.0,19.963085276008268,"[2025.842, 2025.516, 2025.404, 2025.823]","[1320.023, 1320.215, 1319.419, 1319.727]",21,1
ENO2,1184.6367500000001,1389.1952499999998,0.0,16.30259157011443,"[1184.842, 1184.664, 1184.538, 1184.503]","[1389.023, 1389.425, 1388.7979999999998, 1389.535]",22,1
INA,350.71275,946.03725,0.0,16.778537593429427,"[350.842, 350.516, 350.908, 350.585]","[946.023, 946.215, 946.319, 945.592]",23,1
GRM8,272.56675,693.47175,0.0,15.93569821146276,"[272.842, 272.455, 272.467, 272.503]","[693.023, 693.596, 693.7330000000002, 693.535]",24,1
MFN2,1320.7435,945.1217499999999,0.0,8.94512629607447,"[1320.842, 1320.664, 1320.556, 1320.912]","[945.023, 945.425, 945.084, 944.955]",25,1
ARHGEF9,1284.7525,1765.6985000000002,0.0,13.173055213776298,"[1284.833, 1284.867, 1284.404, 1284.906]","[1765.967, 1765.696, 1765.419, 1765.7120000000002]",26,1
ARHGEF9,799.0025,1481.6985000000002,0.0,14.985636557422929,"[798.8330000000002, 798.867, 799.404, 798.9060000000002]","[1481.967, 1481.696, 1481.419, 1481.7120000000002]",27,1
ARHGEF9,1502.7525000000003,351.6985,0.0,13.026562158861404,"[1502.833, 1502.8670000000004, 1502.404, 1502.906]","[351.967, 351.696, 351.4190000000001, 351.712]",28,1
ARHGEF9,664.0025,868.6985,0.0,14.82985521132997,"[663.8330000000002, 663.867, 664.404, 663.9060000000002]","[868.967, 868.696, 868.419, 868.712]",29,1
ARHGEF9,1072.7525,431.69849999999997,0.0,13.463609682978976,"[1072.833, 1072.867, 1072.404, 1072.906]","[431.967, 431.696, 431.419, 431.712]",30,1
ARHGEF9,402.0025,111.6985,0.0,14.906311518937793,"[401.833, 401.867, 402.404, 401.906]","[111.967, 111.696, 111.419, 111.712]",31,1
ARHGEF9,804.0025,1388.6985000000002,0.0,14.763120554406989,"[803.8330000000002, 803.867, 804.404, 803.9060000000002]","[1388.967, 1388.696, 1388.419, 1388.7120000000002]",32,1
ARHGEF9,183.0025,1289.6985,0.0,14.813945813239323,"[182.833, 182.867, 183.404, 182.906]","[1289.967, 1289.696, 1289.419, 1289.712]",33,1
ARHGEF9,783.7525,298.4485,0.0,19.946167222285727,"[783.8330000000002, 783.867, 783.404, 783.9060000000002]","[297.967, 298.696, 298.4190000000001, 298.712]",34,1
ARHGEF9,1409.0025000000003,1010.6985,0.0,14.373830781669714,"[1408.833, 1408.8670000000004, 1409.404, 1408.906]","[1010.967, 1010.696, 1010.419, 1010.712]",35,1
ARHGEF9,1060.7525,471.69849999999997,0.0,12.552343505174846,"[1060.833, 1060.867, 1060.404, 1060.906]","[471.967, 471.696, 471.419, 471.712]",36,1
ARHGEF9,1413.7525000000003,724.9485,0.0,19.48663529494001,"[1413.833, 1413.8670000000004, 1413.404, 1413.906]","[724.967, 724.696, 725.419, 724.712]",37,1
BCL2L1,1737.674,1929.7965,0.0,18.25207939744356,"[1737.7220000000002, 1737.455, 1737.6129999999996, 1737.906]","[1930.302, 1929.596, 1929.576, 1929.712]",38,1
HEPACAM,930.6762500000001,675.52725,0.0,6.936114843584519,"[930.722, 930.867, 930.613, 930.503]","[675.302, 675.696, 675.576, 675.535]",39,1
TMEM147,1624.5275,599.59575,0.0,6.938379467374432,"[1624.737, 1624.664, 1624.361, 1624.348]","[599.747, 599.425, 599.55, 599.661]",40,1
MAPT,1580.7234999999998,274.52075,0.0,6.292580460556733,"[1580.737, 1580.664, 1580.908, 1580.585]","[274.747, 274.425, 274.319, 274.592]",41,1
FAM107A,1335.6255,483.61850000000004,0.0,9.768140850513882,"[1335.737, 1335.455, 1335.404, 1335.906]","[483.747, 483.596, 483.419, 483.712]",42,1
FAM107A,1710.6254999999999,313.61850000000004,0.0,9.162495462148073,"[1710.737, 1710.455, 1710.404, 1710.906]","[313.747, 313.596, 313.4190000000001, 313.712]",43,1
APP,117.8545,675.6185,0.0,5.746968860388329,"[117.737, 117.867, 117.908, 117.906]","[675.747, 675.696, 675.319, 675.712]",44,1
TMEM147,1913.0275,1623.59575,0.0,18.80728273128517,"[1912.737, 1912.664, 1913.361, 1913.348]","[1623.747, 1623.425, 1623.55, 1623.661]",45,1
FAM107A,386.3755,289.61850000000004,0.0,16.34725680490694,"[386.737, 386.455, 386.404, 385.906]","[289.747, 289.596, 289.4190000000001, 289.712]",46,1
FAM107A,1725.6254999999999,1220.6185,0.0,9.32922485209636,"[1725.737, 1725.455, 1725.404, 1725.906]","[1220.747, 1220.596, 1220.419, 1220.712]",47,1
SNX10,809.6935000000001,1002.2855,0.0,15.734269873801965,"[809.737, 809.664, 809.613, 809.76]","[1001.747, 1002.425, 1002.576, 1002.394]",48,1
APP,1152.8545,1355.8685,0.0,11.51211324966954,"[1152.737, 1152.867, 1152.908, 1152.906]","[1355.747, 1355.696, 1356.319, 1355.7120000000002]",49,1
